20 74	' ' 't'
204c 696272617279	' L' 'ibrary'
206269 6f6c6f676963616c	' bi' 'ological'
206c616e64 6564	' land' 'ed'
20726570 616972	' rep' 'air'
2045 5041	' E' 'PA'
2035 38	' 5' '8'
20417574686f72 697479	' Author' 'ity'
20737562 7363	' sub' 'sc'
20726570726573656e74 6174696f6e	' represent' 'ation'
2047 6976656e	' G' 'iven'
2042 6f6c	' B' 'ol'
2061727469666963 69616c	' artific' 'ial'
32 3530	'2' '50'
6c65 616e73	'le' 'ans'
66 6974	'f' 'it'
46 69	'F' 'i'
2072656c 6174696f6e	' rel' 'ation'
206f776e 73	' own' 's'
204b68 616e	' Kh' 'an'
6978 6f6e	'ix' 'on'
20416e746f6e 696f	' Anton' 'io'
20446967 6974616c	' Dig' 'ital'
206c 696674	' l' 'ift'
6167 656e	'ag' 'en'
2064657369676e 6572	' design' 'er'
726f 74	'ro' 't'
20726563 6f6e	' rec' 'on'
5468 616e6b73	'Th' 'anks'
20656d 70	' em' 'p'
20636f6e7363696f7573 6e657373	' conscious' 'ness'
206b69636b 6564	' kick' 'ed'
204f72 646572	' Or' 'der'
20646566 656e646572	' def' 'ender'
2068 616e67696e67	' h' 'anging'
206c657373 6f6e73	' less' 'ons'
68 697374	'h' 'ist'
20696d70 6f736564	' imp' 'osed'
206775 65737473	' gu' 'ests'
2061646f70 74	' adop' 't'
20616e 6f6e796d6f7573	' an' 'onymous'
31 3530	'1' '50'
2073 6c69	' s' 'li'
20636f6e636572 6e696e67	' concer' 'ning'
77 696e64	'w' 'ind'
20707265676e 616e74	' pregn' 'ant'
2046 697665	' F' 'ive'
696e63 6f6c6e	'inc' 'oln'
2042 756c	' B' 'ul'
20756e646572 67726f756e64	' under' 'ground'
6163 7265	'ac' 're'
206d61696e7461696e 696e67	' maintain' 'ing'
20617373 6574	' ass' 'et'
20416c 616e	' Al' 'an'
2070 756e6368	' p' 'unch'
2052 6f6d65	' R' 'ome'
6f6c 73	'ol' 's'
626f7572 6e65	'bour' 'ne'
207368 697274	' sh' 'irt'
20696e67726564 69656e7473	' ingred' 'ients'
5570 64617465	'Up' 'date'
20636865 657365	' che' 'ese'
77 6564	'w' 'ed'
20696e74 656c6c6967	' int' 'ellig'
6973 6974696f6e	'is' 'ition'
204368 616e6e656c	' Ch' 'annel'
20436f6e 76656e74696f6e	' Con' 'vention'
20706f64 63617374	' pod' 'cast'
20696e746572 696f72	' inter' 'ior'
6772 617068	'gr' 'aph'
223a 22	'":' '"'
20656d6f74 696f6e73	' emot' 'ions'
6368 696e67	'ch' 'ing'
68 756d616e	'h' 'uman'
206162 737472616374	' ab' 'stract'
204172 67656e74	' Ar' 'gent'
20636f75 706c6573	' cou' 'ples'
206c657373 6f6e	' less' 'on'
206372656174 757265	' creat' 'ure'
20726573 6f6c7665	' res' 'olve'
207368 6f636b6564	' sh' 'ocked'
206f7070 6f7365	' opp' 'ose'
57 6865	'W' 'he'
2073756d 6d6974	' sum' 'mit'
20706572666f726d 616e636573	' perform' 'ances'
2053 55	' S' 'U'
20766f6c756e7465 657273	' volunte' 'ers'
2042 75726e	' B' 'urn'
44 6973	'D' 'is'
20736f6c64 696572	' sold' 'ier'
d1 83	'�' '�'
73 6f6d65	's' 'ome'
207374696d 756c	' stim' 'ul'
206c6f67 6f	' log' 'o'
e0 a4	'�' '�'
617070 726f707269	'app' 'ropri'
697374 616e74	'ist' 'ant'
20746572 72	' ter' 'r'
2076 6f63616c	' v' 'ocal'
20616363 756d	' acc' 'um'
2067 69726c667269656e64	' g' 'irlfriend'
2050726f74 656374696f6e	' Prot' 'ection'
62 656e	'b' 'en'
2044 7572	' D' 'ur'
756c74 79	'ult' 'y'
53 45	'S' 'E'
206a756d70 6564	' jump' 'ed'
20616e6e 6f79	' ann' 'oy'
2050 616765	' P' 'age'
206a 69686164	' j' 'ihad'
206d 696c65	' m' 'ile'
206e 757273	' n' 'urs'
204c 656172	' L' 'ear'
7573 6572	'us' 'er'
206d696c6974 616e7473	' milit' 'ants'
6163 6c6573	'ac' 'les'
206775 6964	' gu' 'id'
2046 616e74	' F' 'ant'
204d697373 6f757269	' Miss' 'ouri'
2070726f66657373696f6e 616c73	' profession' 'als'
47 656e6572	'G' 'ener'
28 22	'(' '"'
20416e 6e61	' An' 'na'
696b 68	'ik' 'h'
496e7374 656164	'Inst' 'ead'
20627574 746572	' but' 'ter'
69616c 73	'ial' 's'
2073 776974	' s' 'wit'
20726566 657273	' ref' 'ers'
206465736b 746f70	' desk' 'top'
64 72	'd' 'r'
2074726176656c 696e67	' travel' 'ing'
206c 696272	' l' 'ibr'
67 657473	'g' 'ets'
2069736f6c 61746564	' isol' 'ated'
20666f72 756d	' for' 'um'
206164766f63 617465	' advoc' 'ate'
206578697374 6564	' exist' 'ed'
204c 696d	' L' 'im'
206f7070 6f73696e67	' opp' 'osing'
20436f 616c	' Co' 'al'
67 617465	'g' 'ate'
20726563 616c6c6564	' rec' 'alled'
e280a6 2e	'…' '.'
4e 657874	'N' 'ext'
5374 6174696f6e	'St' 'ation'
2043 617365	' C' 'ase'
2048 616e	' H' 'an'
4973 7261656c	'Is' 'rael'
2036 3030	' 6' '00'
20696e74656772 6174696f6e	' integr' 'ation'
2064657363726962 696e67	' describ' 'ing'
20626f78 6573	' box' 'es'
204a617661 536372697074	' Java' 'Script'
204f72 6c65616e73	' Or' 'leans'
656172 6c79	'ear' 'ly'
207374 726f	' st' 'ro'
43 44	'C' 'D'
204d 61696c	' M' 'ail'
206d696e 696d616c	' min' 'imal'
2048 616c	' H' 'al'
7461696e 6d656e74	'tain' 'ment'
20636f6e66 75736564	' conf' 'used'
2043 7573746f6d	' C' 'ustom'
2053 44	' S' 'D'
756d70 68	'ump' 'h'
207065616365 66756c	' peace' 'ful'
20696e 686572656e74	' in' 'herent'
6162 65	'ab' 'e'
6f64 6765	'od' 'ge'
63 616c	'c' 'al'
20737572726f756e64 6564	' surround' 'ed'
20 76657274	' ' 'vert'
6f776e 6564	'own' 'ed'
20436170 69746f6c	' Cap' 'itol'
68617474 616e	'hatt' 'an'
2048 616e64	' H' 'and'
636f6d 6d756e	'com' 'mun'
2068 6f6c6573	' h' 'oles'
206d65 616c	' me' 'al'
20313938 39	' 198' '9'
20696e74656772 697479	' integr' 'ity'
204b 6e6f77	' K' 'now'
20506c6179 6572	' Play' 'er'
2070 6d	' p' 'm'
20426172 62	' Bar' 'b'
20696e73706972 6174696f6e	' inspir' 'ation'
20636f6e666967 75726174696f6e	' config' 'uration'
2052 73	' R' 's'
2073 6e65	' s' 'ne'
205472 757374	' Tr' 'ust'
2042 616e	' B' 'an'
6865 726f	'he' 'ro'
f0 9f	'�' '�'
20657870 656e7365	' exp' 'ense'
2063726564 697473	' cred' 'its'
204e 6f6e	' N' 'on'
20737562 7572	' sub' 'ur'
20656c656374 6f72616c	' elect' 'oral'
20696465 6f6c6f6779	' ide' 'ology'
2079 656c6c	' y' 'ell'
2073696c 656e74	' sil' 'ent'
2064 75616c	' d' 'ual'
204d6172 696e65	' Mar' 'ine'
20446f 63746f72	' Do' 'ctor'
207374 61636b	' st' 'ack'
2073757370 6963	' susp' 'ic'
20627572 696564	' bur' 'ied'
54 45	'T' 'E'
204e6576 616461	' Nev' 'ada'
69 656e73	'i' 'ens'
c3 a7	'�' '�'
696d 697a65	'im' 'ize'
20646573706572 617465	' desper' 'ate'
204f 6363	' O' 'cc'
7374 6172746572	'st' 'arter'
d0 ba	'�' '�'
207363 7265616d	' sc' 'ream'
20636c 6970	' cl' 'ip'
2063686f 6f73696e67	' cho' 'osing'
20626f6d 6273	' bom' 'bs'
5472 616e73	'Tr' 'ans'
2043 42	' C' 'B'
2062 616e6473	' b' 'ands'
207465616d 6d61746573	' team' 'mates'
20666c65 6574	' fle' 'et'
2053 48	' S' 'H'
20636f6e 76657274	' con' 'vert'
20616363657074 61626c65	' accept' 'able'
74 7261	't' 'ra'
204f72 6c616e646f	' Or' 'lando'
6962 6c	'ib' 'l'
206a 6572	' j' 'er'
47 75	'G' 'u'
2057 7269676874	' W' 'right'
20726567697374 726174696f6e	' regist' 'ration'
4c 697374	'L' 'ist'
20506f7274 7567	' Port' 'ug'
20486974 6c6572	' Hit' 'ler'
2062727574 616c	' brut' 'al'
53 55	'S' 'U'
6177 6b73	'aw' 'ks'
4e 6574	'N' 'et'
204d 6f7665	' M' 'ove'
207363 6172	' sc' 'ar'
20616e 63657374	' an' 'cest'
204f6e 6c696e65	' On' 'line'
20416c6c 69616e6365	' All' 'iance'
65 6c656374696f6e	'e' 'lection'
207375627363726962 65	' subscrib' 'e'
20737472756767 6c6573	' strugg' 'les'
206b6579 626f617264	' key' 'board'
206d6f6d656e74 756d	' moment' 'um'
204c65 62616e	' Le' 'ban'
20417265 61	' Are' 'a'
6172 6f	'ar' 'o'
2070726f6d6f74 696f6e	' promot' 'ion'
204172 73656e616c	' Ar' 'senal'
2056 656e	' V' 'en'
206576 6964656e74	' ev' 'ident'
46 6c	'F' 'l'
207175 6974	' qu' 'it'
68 697265	'h' 'ire'
66 6174686572	'f' 'ather'
4e 616d65	'N' 'ame'
206f7267616e 69736174696f6e	' organ' 'isation'
20776f6e64 6572696e67	' wond' 'ering'
20496e64 6f6e6573	' Ind' 'ones'
20636c6f73 657374	' clos' 'est'
6d 697473	'm' 'its'
746f 6f	'to' 'o'
20656d6272 616365	' embr' 'ace'
20537465 656c	' Ste' 'el'
626f6f6b 73	'book' 's'
20466f6c6c6f77 696e67	' Follow' 'ing'
20726566756765 65	' refuge' 'e'
2048 616d70	' H' 'amp'
207465 657468	' te' 'eth'
4152 54	'AR' 'T'
2070726f 6265	' pro' 'be'
207574 746572	' ut' 'ter'
537065 616b696e67	'Spe' 'aking'
636865 6c6c	'che' 'll'
206174 6865	' at' 'he'
2057 6f7264	' W' 'ord'
206f63636173 696f6e616c	' occas' 'ional'
206d6f6e 73746572	' mon' 'ster'
737472 6f6e67	'str' 'ong'
206173 73656d626c79	' as' 'sembly'
2062616e6b 72757074	' bank' 'rupt'
20726566657265 6e636573	' refere' 'nces'
6973 64	'is' 'd'
206a6f75726e616c 69736d	' journal' 'ism'
20657870 656e736573	' exp' 'enses'
2073756273657175 656e746c79	' subsequ' 'ently'
6f75 62	'ou' 'b'
7374 6f70	'st' 'op'
6f6b 6572	'ok' 'er'
207072 696465	' pr' 'ide'
206775 61726473	' gu' 'ards'
204d 756e	' M' 'un'
20696e74657270726574 6174696f6e	' interpret' 'ation'
2056 656e657a75656c	' V' 'enezuel'
2079 656168	' y' 'eah'
ef bc	'�' '�'
206c 696e	' l' 'in'
68 72	'h' 'r'
6772 6164	'gr' 'ad'
2072656d 6f76696e67	' rem' 'oving'
206f72 626974	' or' 'bit'
47 6c	'G' 'l'
20496e64 6570656e64656e74	' Ind' 'ependent'
2057 726974	' W' 'rit'
2070726f66 6f756e64	' prof' 'ound'
6970 65646961	'ip' 'edia'
7265 7474	're' 'tt'
3230 3132	'20' '12'
20506974 74736275726768	' Pit' 'tsburgh'
20636f6d70726f6d 697365	' comprom' 'ise'
206b6e 696665	' kn' 'ife'
206469737472696374 73	' district' 's'
206578636c7573 6976656c79	' exclus' 'ively'
2073757276 69766564	' surv' 'ived'
2053 6f75726365	' S' 'ource'
20636f6e7369646572 61626c65	' consider' 'able'
206d617468656d 6174	' mathem' 'at'
207374 6174696e67	' st' 'ating'
20656e67 6167696e67	' eng' 'aging'
2043 6f756c64	' C' 'ould'
20726566 757365	' ref' 'use'
2062 697264	' b' 'ird'
20636861726163746572 697374696373	' character' 'istics'
204d6f756e74 61696e	' Mount' 'ain'
206c 6f6262	' l' 'obb'
2052 616a	' R' 'aj'
206a757374 696679	' just' 'ify'
20646f6d 696e61746564	' dom' 'inated'
48 50	'H' 'P'
2037 32	' 7' '2'
51 4c	'Q' 'L'
206272696566 6c79	' brief' 'ly'
204e 617a69	' N' 'azi'
62 6f756e64	'b' 'ound'
617273 6f6e	'ars' 'on'
2052 657374	' R' 'est'
206368 6970	' ch' 'ip'
206d696e 697374657273	' min' 'isters'
2070726f 7374	' pro' 'st'
20656c656374 726f6e	' elect' 'ron'
207472656d656e64 6f7573	' tremend' 'ous'
20636f6e74 72617279	' cont' 'rary'
7265 6e64	're' 'nd'
2067 7269	' g' 'ri'
207375737461696e 61626c65	' sustain' 'able'
5368 617265	'Sh' 'are'
206c6f6164 6564	' load' 'ed'
20666c 6f7572	' fl' 'our'
20646973617070 656172	' disapp' 'ear'
206e657276 6f7573	' nerv' 'ous'
20726f7574 6573	' rout' 'es'
6f726e65 7973	'orne' 'ys'
2070726f 706f7274696f6e	' pro' 'portion'
20736f7068 6973746963	' soph' 'istic'
6174 7465726564	'at' 'tered'
20657865637574 6564	' execut' 'ed'
6f63 61746564	'oc' 'ated'
656c 7665	'el' 've'
2044 756b65	' D' 'uke'
7574 746572	'ut' 'ter'
206173 796c756d	' as' 'ylum'
204576657279 6f6e65	' Every' 'one'
2067616d65 706c6179	' game' 'play'
20736578 75616c6c79	' sex' 'ually'
696e 7374	'in' 'st'
5468 616e6b	'Th' 'ank'
4865 79	'He' 'y'
2042 75	' B' 'u'
2070 6972	' p' 'ir'
20646f6e 6f7273	' don' 'ors'
20636f6e66 7573696f6e	' conf' 'usion'
2044 7265616d	' D' 'ream'
207265766f6c7574696f6e 617279	' revolution' 'ary'
616d 696e65	'am' 'ine'
63 6170	'c' 'ap'
2041 61726f6e	' A' 'aron'
20416e64 79	' And' 'y'
2050 616e74	' P' 'ant'
20637572 696f7573	' cur' 'ious'
20547265 6173757279	' Tre' 'asury'
2068 61727368	' h' 'arsh'
6c696d 69746564	'lim' 'ited'
6c69 686f6f64	'li' 'hood'
696e63 6f6d65	'inc' 'ome'
4b 45	'K' 'E'
20617474 656e64696e67	' att' 'ending'
2038 3030	' 8' '00'
204164 616d73	' Ad' 'ams'
696d 6d6572	'im' 'mer'
2049 4d	' I' 'M'
c3 a8	'�' '�'
736563 7572697479	'sec' 'urity'
55 43	'U' 'C'
20737065616b 657273	' speak' 'ers'
c3b3 6e	'ó' 'n'
2063 6162696e6574	' c' 'abinet'
206e6f77 68657265	' now' 'here'
41 67	'A' 'g'
726565 6b	'ree' 'k'
20666c65 65	' fle' 'e'
2076 6f6964	' v' 'oid'
206272 616e6473	' br' 'ands'
206368 726f6e6963	' ch' 'ronic'
207072696e74 6564	' print' 'ed'
20546573 6c61	' Tes' 'la'
205368 6f7274	' Sh' 'ort'
206368617267 696e67	' charg' 'ing'
20656e67 696e6573	' eng' 'ines'
2070687973 696373	' phys' 'ics'
7265 636b	're' 'ck'
616e 696d	'an' 'im'
2048 6176696e67	' H' 'aving'
66 756e6374696f6e	'f' 'unction'
7572 7365	'ur' 'se'
204d 756c74	' M' 'ult'
20636f6e636572 74	' concer' 't'
7363 6172	'sc' 'ar'
2053686572 696666	' Sher' 'iff'
696e67 65	'ing' 'e'
206f7574 636f6d6573	' out' 'comes'
2041 72656e	' A' 'ren'
204f6666 69636572	' Off' 'icer'
4d 414e	'M' 'AN'
75626c 6973686564	'ubl' 'ished'
6f6c 6964	'ol' 'id'
6f74 7465	'ot' 'te'
206f 7269656e74	' o' 'rient'
206d6972 726f72	' mir' 'ror'
20737472656e67 7468656e	' streng' 'then'
2047 6962	' G' 'ib'
204a 756e	' J' 'un'
7468 6f6f64	'th' 'ood'
206661696c 73	' fail' 's'
6f70 74	'op' 't'
207370 6f	' sp' 'o'
206f6273 6572	' obs' 'er'
2e 5d	'.' ']'
20636861 6f73	' cha' 'os'
2070617373 656e676572	' pass' 'enger'
206950 6164	' iP' 'ad'
20437572 72656e74	' Cur' 'rent'
206372696d696e 616c73	' crimin' 'als'
2066 656c	' f' 'el'
205370 6972	' Sp' 'ir'
207374656164 79	' stead' 'y'
20526f62 696e736f6e	' Rob' 'inson'
52 6564	'R' 'ed'
37 3030	'7' '00'
204e6574 686572	' Net' 'her'
6d6572 6365	'mer' 'ce'
20c2 b1	' �' '�'
20726f62 757374	' rob' 'ust'
2043 4f4e	' C' 'ON'
204d616e 68617474616e	' Man' 'hattan'
7768 697465	'wh' 'ite'
49 45	'I' 'E'
20656e64 6f7273	' end' 'ors'
2073706563 756c6174696f6e	' spec' 'ulation'
204368 616e6765	' Ch' 'ange'
726573 686f6c64	'res' 'hold'
2063657274 69666963	' cert' 'ific'
206465 656d6564	' de' 'emed'
2054616c 6962616e	' Tal' 'iban'
2064726f 7070696e67	' dro' 'pping'
2068 6972696e67	' h' 'iring'
204e 6f726d	' N' 'orm'
204769 616e7473	' Gi' 'ants'
2053696e67 61706f7265	' Sing' 'apore'
2041 6c70	' A' 'lp'
20696e74656772 61746564	' integr' 'ated'
20506572 7279	' Per' 'ry'
2070726573 656e7473	' pres' 'ents'
206176 6f	' av' 'o'
2054 73	' T' 's'
2042 616e64	' B' 'and'
2046 41	' F' 'A'
2067756172616e74 656564	' guarant' 'eed'
617070 6572	'app' 'er'
2066 657274	' f' 'ert'
206570 6963	' ep' 'ic'
206c65 616b6564	' le' 'aked'
204b 696e6773	' K' 'ings'
207061636b 61676573	' pack' 'ages'
6d 626c65	'm' 'ble'
20706c65 6173757265	' ple' 'asure'
42 4e	'B' 'N'
65 6c65	'e' 'le'
2073757370 656e73696f6e	' susp' 'ension'
206368616c6c656e67 6564	' challeng' 'ed'
207061636b 6564	' pack' 'ed'
67 6f6f64	'g' 'ood'
20636865636b 696e67	' check' 'ing'
e0 b8	'�' '�'
2062 697473	' b' 'its'
2076 6974	' v' 'it'
20656e67 6167656d656e74	' eng' 'agement'
20726164 696174696f6e	' rad' 'iation'
20736c 6f74	' sl' 'ot'
20626f6d62 696e67	' bomb' 'ing'
2048 75	' H' 'u'
20706174 7269	' pat' 'ri'
6c65 6570	'le' 'ep'
2064 61	' d' 'a'
20616c 657274	' al' 'ert'
50 616c	'P' 'al'
697374 6c65	'ist' 'le'
2077 6574	' w' 'et'
72 696373	'r' 'ics'
2068756e 74696e67	' hun' 'ting'
205553 42	' US' 'B'
2054 656c	' T' 'el'
7269 76	'ri' 'v'
c4 81	'�' '�'
c383c382c383c382 c383c382c383c382	'ÃÂÃÂ' 'ÃÂÃÂ'
2070726f6475 636573	' produ' 'ces'
207769746e657373 6573	' witness' 'es'
2043 72616967	' C' 'raig'
6f7068 6f62	'oph' 'ob'
2065646974 6f7269616c	' edit' 'orial'
20646566 656e646564	' def' 'ended'
20726563 6f7665726564	' rec' 'overed'
2048 6f6c79	' H' 'oly'
6d656e74 6564	'ment' 'ed'
20646576656c6f70 6d656e7473	' develop' 'ments'
2073696d756c74616e65 6f75736c79	' simultane' 'ously'
20626f 6f6d	' bo' 'om'
20626163746572 6961	' bacter' 'ia'
204c 6f67	' L' 'og'
20626c6f636b 696e67	' block' 'ing'
52 69676874	'R' 'ight'
204c 61746572	' L' 'ater'
2035 39	' 5' '9'
2061747472616374 6564	' attract' 'ed'
2036 36	' 6' '6'
20666967 75726564	' fig' 'ured'
204f 7070	' O' 'pp'
20636f72 72656c	' cor' 'rel'
2048 756e67	' H' 'ung'
20616c6c 69616e6365	' all' 'iance'
2072657365617263 686572	' researc' 'her'
2074617870 6179657273	' taxp' 'ayers'
20456e746572 7461696e6d656e74	' Enter' 'tainment'
204c 6573	' L' 'es'
204e 6f6e65	' N' 'one'
20636170 73	' cap' 's'
63 617264	'c' 'ard'
204a 6572656d79	' J' 'eremy'
20686f7374 73	' host' 's'
2063 696e656d	' c' 'inem'
20706174 656e74	' pat' 'ent'
2052757373 69616e73	' Russ' 'ians'
697a 61727265	'iz' 'arre'
206578616d 696e65	' exam' 'ine'
4154 4348	'AT' 'CH'
2046 7574757265	' F' 'uture'
2076617269 61626c6573	' vari' 'ables'
617374 65	'ast' 'e'
204c 696e636f6c6e	' L' 'incoln'
6966 696572	'if' 'ier'
206f 7879	' o' 'xy'
20656d 626564	' em' 'bed'
2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d 2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d	'----------------' '----------------'
206a 756e696f72	' j' 'unior'
6c796e 6e	'lyn' 'n'
617465 66756c	'ate' 'ful'
426c 61636b	'Bl' 'ack'
2047 68	' G' 'h'
7574 6572	'ut' 'er'
6f6e 6564	'on' 'ed'
204368616972 6d616e	' Chair' 'man'
207075626c 697368	' publ' 'ish'
2054 6f776572	' T' 'ower'
4a 50	'J' 'P'
2074 656172	' t' 'ear'
2036 32	' 6' '2'
206d6574 68	' met' 'h'
67 6c79	'g' 'ly'
20627265 617374	' bre' 'ast'
2056 6c6164	' V' 'lad'
44 52	'D' 'R'
2076 656e74	' v' 'ent'
20506f6c 616e64	' Pol' 'and'
43 6172	'C' 'ar'
20556b7261696e 69616e	' Ukrain' 'ian'
2053747564 696573	' Stud' 'ies'
61646573 68	'ades' 'h'
6767 6564	'gg' 'ed'
64 6570	'd' 'ep'
20656e 616374	' en' 'act'
6d 6179	'm' 'ay'
2044 616b	' D' 'ak'
20666c 6967687473	' fl' 'ights'
6f6d 6963	'om' 'ic'
206163637572 616379	' accur' 'acy'
20666c 6176	' fl' 'av'
2042 6f72	' B' 'or'
2057 69	' W' 'i'
2064697374 7269627574	' dist' 'ribut'
206c 6f73	' l' 'os'
20696d70616374 73	' impact' 's'
204b 6974	' K' 'it'
2073757270726973696e67 6c79	' surprising' 'ly'
20736f6c 6f	' sol' 'o'
207261 69736573	' ra' 'ises'
206275726e 6564	' burn' 'ed'
2072 6963	' r' 'ic'
2053 6369	' S' 'ci'
20616e67 6c65	' ang' 'le'
7365637574 697665	'secut' 'ive'
2057 6f756c64	' W' 'ould'
206576 6163	' ev' 'ac'
207175616c 6966696564	' qual' 'ified'
206465637265 617365	' decre' 'ase'
2043 5055	' C' 'PU'
6f 6674	'o' 'ft'
6e 6965	'n' 'ie'
76 6173	'v' 'as'
206576 6f6c766564	' ev' 'olved'
20666c 61766f72	' fl' 'avor'
6f6c6974 6963616c	'olit' 'ical'
74 657374	't' 'est'
20756e 6e6563657373	' un' 'necess'
62 696e	'b' 'in'
6163 6f	'ac' 'o'
206173 73656d62	' as' 'semb'
2054 6f74616c	' T' 'otal'
20696e74696d 6964	' intim' 'id'
77 696368	'w' 'ich'
696d 6972	'im' 'ir'
20636f757274 657379	' court' 'esy'
204f 52	' O' 'R'
43 6f72	'C' 'or'
4552 45	'ER' 'E'
2066696e67 657273	' fing' 'ers'
204d50 73	' MP' 's'
72 6974696f6e	'r' 'ition'
2070726f64756374 697665	' product' 'ive'
2076 6f63	' v' 'oc'
20626c 616d6564	' bl' 'amed'
65746865 6c657373	'ethe' 'less'
2048 4956	' H' 'IV'
20646570656e64 656e74	' depend' 'ent'
20657870656374 696e67	' expect' 'ing'
207472616e73666572 726564	' transfer' 'red'
2052 616e67657273	' R' 'angers'
20656e 61626c6564	' en' 'abled'
206964656e74 6963616c	' ident' 'ical'
20766973 697473	' vis' 'its'
6e 616e	'n' 'an'
20657870656374 73	' expect' 's'
206c 616e65	' l' 'ane'
2047 696c6c	' G' 'ill'
64 696374	'd' 'ict'
2069676e 6f72	' ign' 'or'
2055 62	' U' 'b'
20616363 6f7264	' acc' 'ord'
204772 696666	' Gr' 'iff'
746572 726f72	'ter' 'ror'
6973 68657273	'is' 'hers'
42 6f6f6b	'B' 'ook'
2053746577 617274	' Stew' 'art'
2076 656e74757265	' v' 'enture'
2043 43	' C' 'C'
2062 617267	' b' 'arg'
42 72	'B' 'r'
207368 6f7073	' sh' 'ops'
20646570617274 757265	' depart' 'ure'
20436f6d6d 616e64	' Comm' 'and'
6965 7265	'ie' 're'
204d697373 697373	' Miss' 'iss'
54 4f	'T' 'O'
206b696c6c 6572	' kill' 'er'
2072657065 616c	' repe' 'al'
206d6f746976 61746564	' motiv' 'ated'
2072657374 6f7265	' rest' 'ore'
206167726565 6d656e7473	' agree' 'ments'
2044 75	' D' 'u'
20636f6e666c6963 7473	' conflic' 'ts'
206f7267616e 6973	' organ' 'is'
7468 6f646f78	'th' 'odox'
207363 61726564	' sc' 'ared'
20666f7267 6f7474656e	' forg' 'otten'
205468 696e6b	' Th' 'ink'
6964 656e	'id' 'en'
69636b 6564	'ick' 'ed'
756c 7365	'ul' 'se'
20696e 686572	' in' 'her'
206e6174696f6e 77696465	' nation' 'wide'
204564 6974696f6e	' Ed' 'ition'
62 69616e	'b' 'ian'
206379 636c	' cy' 'cl'
20696e666c75 656e636564	' influ' 'enced'
2063726974 65726961	' crit' 'eria'
204e 69	' N' 'i'
65726e 616e64	'ern' 'and'
206f63637570 696564	' occup' 'ied'
20616e696d 6174696f6e	' anim' 'ation'
2042 43	' B' 'C'
20747261696c 6572	' trail' 'er'
2072616e6b 696e67	' rank' 'ing'
2050 6f7065	' P' 'ope'
205368 6f756c64	' Sh' 'ould'
205468 696e6773	' Th' 'ings'
20 60	' ' '`'
206261636b 73	' back' 's'
6168 6f6f	'ah' 'oo'
2074656c65 70686f6e65	' tele' 'phone'
64 66	'd' 'f'
206f63636173 696f6e	' occas' 'ion'
6162 6f7574	'ab' 'out'
756e 697479	'un' 'ity'
20616e616c 7973	' anal' 'ys'
20526564 646974	' Red' 'dit'
2066756e6374696f6e 616c697479	' function' 'ality'
20636865636b 6564	' check' 'ed'
20636f6e63656e74 726174696f6e	' concent' 'ration'
204d6f64 656c	' Mod' 'el'
6c6f6f6b 696e67	'look' 'ing'
20686f757365686f6c64 73	' household' 's'
6c 696e6b	'l' 'ink'
207265 617373	' re' 'ass'
6f6e64 756374	'ond' 'uct'
20616c676f72697468 6d	' algorith' 'm'
20636f7572 616765	' cour' 'age'
7261 68	'ra' 'h'
72657373 696e67	'ress' 'ing'
2053757070 6f7274	' Supp' 'ort'
6f75 70	'ou' 'p'
2070726f6d6f74 6564	' promot' 'ed'
2048 7567	' H' 'ug'
20696d70 7269736f6e	' imp' 'rison'
616d 656e7473	'am' 'ents'
206578706c69636974 6c79	' explicit' 'ly'
20626174 746572	' bat' 'ter'
69 6172	'i' 'ar'
6c65 746564	'le' 'ted'
20646573 70	' des' 'p'
20626162 696573	' bab' 'ies'
2074 616e6b73	' t' 'anks'
206f 75676874	' o' 'ught'
207374 61746963	' st' 'atic'
2050726f 64756374	' Pro' 'duct'
2072656c65 6173696e67	' rele' 'asing'
20616e74 6962	' ant' 'ib'
20506c 616365	' Pl' 'ace'
7269 6b65	'ri' 'ke'
20737562 746c65	' sub' 'tle'
466f72 6d6572	'For' 'mer'
494c 4c	'IL' 'L'
207374 617473	' st' 'ats'
2062 61736573	' b' 'ases'
2073747269 70	' stri' 'p'
20646f 6374	' do' 'ct'
6c 61726765	'l' 'arge'
75 6174696e67	'u' 'ating'
47 72	'G' 'r'
2070726976696c65 6765	' privile' 'ge'
204a 65727279	' J' 'erry'
204d6f7265 6f766572	' More' 'over'
6167 696e65	'ag' 'ine'
2045 6e74	' E' 'nt'
697070 69	'ipp' 'i'
20576172 6e6572	' War' 'ner'
204e 4f	' N' 'O'
206d6574 657273	' met' 'ers'
20656e7472 616e6365	' entr' 'ance'
4d 42	'M' 'B'
62 6174	'b' 'at'
20746f77 6572	' tow' 'er'
20696e766573746967 61746564	' investig' 'ated'
5468 726565	'Th' 'ree'
2073656e 61746f7273	' sen' 'ators'
7a 6f6e65	'z' 'one'
2043 6f6c64	' C' 'old'
2043616e6164 69616e73	' Canad' 'ians'
2068 7562	' h' 'ub'
2077 697365	' w' 'ise'
206f766572 6c	' over' 'l'
206170706c 696573	' appl' 'ies'
20666f726d 756c61	' form' 'ula'
205374616e64 617264	' Stand' 'ard'
2045 62	' E' 'b'
6f6c6c 6172	'oll' 'ar'
204567797074 69616e	' Egypt' 'ian'
206d 617274	' m' 'art'
20436872697374 6f70686572	' Christ' 'opher'
